origin,destination,path
Абакан,Астрахань,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Уфа — Тольятти — Саратов — Волгоград — Элиста — Астрахань
Абакан,Астрахань,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Тюмень — Екатеринбург — Уфа — Тольятти — Саратов — Волгоград — Элиста — Астрахань
Абакан,Астрахань,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Курган — Челябинск — Уфа — Тольятти — Саратов — Волгоград — Элиста — Астрахань
Абакан,Астрахань,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Уфа — Тольятти — Саратов — Воронеж — Ростов-на-Дону — Волгоград — Элиста — Астрахань
Абакан,Барнаул,Абакан — Красноярск — Кемерово — Новосибирск — Барнаул
Абакан,Бийск,Абакан — Красноярск — Кемерово — Новосибирск — Барнаул — Бийск
Абакан,Владивосток,Абакан — Красноярск — Иркутск — Улан-Удэ — Чита — Сковородино — Свободный — Хабаровск — Владивосток
Абакан,Владикавказ,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Уфа — Тольятти — Саратов — Волгоград — Элиста — Невинномысск — Минеральные Воды — Нальчик — Владикавказ
Абакан,Владикавказ,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Уфа — Тольятти — Саратов — Волгоград — Элиста — Астрахань — Махачкала — Грозный — Владикавказ
Абакан,Владикавказ,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Тюмень — Екатеринбург — Уфа — Тольятти — Саратов — Волгоград — Элиста — Невинномысск — Минеральные Воды — Нальчик — Владикавказ
Абакан,Владикавказ,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Курган — Челябинск — Уфа — Тольятти — Саратов — Волгоград — Элиста — Невинномысск — Минеральные Воды — Нальчик — Владикавказ
Абакан,Владимир,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Пермь — Киров — Ярославль — Москва — Владимир
Абакан,Владимир,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Набережные Челны — Казань — Чебоксары — Нижний Новгород — Владимир
Абакан,Владимир,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Тюмень — Екатеринбург — Пермь — Киров — Ярославль — Москва — Владимир
Абакан,Владимир,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Курган — Челябинск — Уфа — Тольятти — Пенза — Рязань — Москва — Владимир
Абакан,Волгоград,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Уфа — Тольятти — Саратов — Волгоград
Абакан,Волгоград,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Тюмень — Екатеринбург — Уфа — Тольятти — Саратов — Волгоград
Абакан,Волгоград,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Курган — Челябинск — Уфа — Тольятти — Саратов — Волгоград
Абакан,Волгоград,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Уфа — Тольятти — Саратов — Воронеж — Ростов-на-Дону — Волгоград
Абакан,Вологда,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Пермь — Киров — Ярославль — Вологда
Абакан,Вологда,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Тюмень — Екатеринбург — Пермь — Киров — Ярославль — Вологда
Абакан,Вологда,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Пермь — Киров — Кострома — Ярославль — Вологда
Абакан,Вологда,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Набережные Челны — Ижевск — Пермь — Киров — Ярославль — Вологда
Абакан,Воронеж,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Уфа — Тольятти — Саратов — Воронеж
Абакан,Воронеж,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Тюмень — Екатеринбург — Уфа — Тольятти — Саратов — Воронеж
Абакан,Воронеж,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Курган — Челябинск — Уфа — Тольятти — Саратов — Воронеж
Абакан,Воронеж,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Уфа — Тольятти — Саратов — Волгоград — Ростов-на-Дону — Воронеж
Абакан,Грозный,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Уфа — Тольятти — Саратов — Волгоград — Элиста — Астрахань — Махачкала — Грозный
Абакан,Грозный,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Тюмень — Екатеринбург — Уфа — Тольятти — Саратов — Волгоград — Элиста — Астрахань — Махачкала — Грозный
Абакан,Грозный,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Курган — Челябинск — Уфа — Тольятти — Саратов — Волгоград — Элиста — Астрахань — Махачкала — Грозный
Абакан,Грозный,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Уфа — Тольятти — Саратов — Воронеж — Ростов-на-Дону — Волгоград — Элиста — Астрахань — Махачкала — Грозный
Абакан,Екатеринбург,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург
Абакан,Екатеринбург,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Тюмень — Екатеринбург
Абакан,Екатеринбург,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Курган — Челябинск — Уфа — Екатеринбург
Абакан,Ижевск,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Пермь — Ижевск
Абакан,Ижевск,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Набережные Челны — Ижевск
Абакан,Ижевск,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Тюмень — Екатеринбург — Пермь — Ижевск
Абакан,Ижевск,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Курган — Челябинск — Уфа — Набережные Челны — Ижевск
Абакан,Иркутск,Абакан — Красноярск — Иркутск
Абакан,Йошкар-Ола,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Набережные Челны — Казань — Йошкар-Ола
Абакан,Йошкар-Ола,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Тюмень — Екатеринбург — Набережные Челны — Казань — Йошкар-Ола
Абакан,Йошкар-Ола,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Уфа — Набережные Челны — Казань — Йошкар-Ола
Абакан,Йошкар-Ола,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Курган — Челябинск — Уфа — Набережные Челны — Казань — Йошкар-Ола
Абакан,Казань,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Набережные Челны — Казань
Абакан,Казань,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Тюмень — Екатеринбург — Набережные Челны — Казань
Абакан,Казань,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Уфа — Набережные Челны — Казань
Абакан,Казань,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Курган — Челябинск — Уфа — Набережные Челны — Казань
Абакан,Калининград,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Пермь — Киров — Ярославль — Москва — Санкт-Петербург — Калининград
Абакан,Калининград,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Тюмень — Екатеринбург — Пермь — Киров — Ярославль — Москва — Санкт-Петербург — Калининград
Абакан,Калининград,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Уфа — Тольятти — Пенза — Рязань — Москва — Санкт-Петербург — Калининград
Абакан,Калининград,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Пермь — Киров — Кострома — Ярославль — Москва — Санкт-Петербург — Калининград
Абакан,Кемерово,Абакан — Красноярск — Кемерово
Абакан,Керчь,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Уфа — Тольятти — Саратов — Волгоград — Ростов-на-Дону — Краснодар — Керчь
Абакан,Керчь,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Уфа — Тольятти — Саратов — Воронеж — Ростов-на-Дону — Краснодар — Керчь
Абакан,Керчь,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Тюмень — Екатеринбург — Уфа — Тольятти — Саратов — Волгоград — Ростов-на-Дону — Краснодар — Керчь
Абакан,Керчь,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Курган — Челябинск — Уфа — Тольятти — Саратов — Волгоград — Ростов-на-Дону — Краснодар — Керчь
Абакан,Киров,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Пермь — Киров
Абакан,Киров,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Тюмень — Екатеринбург — Пермь — Киров
Абакан,Киров,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Набережные Челны — Ижевск — Пермь — Киров
Абакан,Киров,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Курган — Челябинск — Уфа — Екатеринбург — Пермь — Киров
Абакан,Кострома,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Пермь — Киров — Кострома
